# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.129        0.000      578.945      785.930
       0.260        3.692      579.285      786.184
       0.407        6.817      580.586      787.410
       0.579       27.250      595.438      802.449
       0.736       26.042      601.828      808.316
       0.881       18.242      593.074      791.410
       1.036       10.233      591.535      787.410
       1.173       15.025      591.602      794.480
       1.332        9.233      591.715      795.199
       1.491       10.850      592.090      795.555
       1.632       27.367      602.355      806.020
       1.792       40.067      623.863      819.406
       1.959       30.050      628.070      822.199
       2.101       34.167      631.180      824.508
       2.242       33.483      621.145      813.504
       2.388       29.550      645.859      813.445
       2.526       13.850      646.410      813.836
       2.669       22.533      652.191      819.594
       2.810       16.742      654.801      815.672
       2.968       15.758      655.004      815.891
       3.110       13.950      657.520      819.906
       3.252       29.550      660.219      822.465
       3.398       34.167      663.133      825.359
       3.537       33.483      667.938      830.105
       3.680       29.550      654.543      812.789
       3.823       10.233      654.727      812.977
       3.968       13.267      656.070      813.945
       4.122       16.742      653.191      807.672
       4.266       21.242      654.262      808.699
       4.407       16.692      656.102      808.262
       4.548        8.308      656.113      808.270
       4.705       11.683      657.484      809.164
       4.847        7.392      616.066      771.398
       4.989        6.508      616.066      771.398
       5.128        7.392      619.578      775.012
       5.271        5.542      620.207      775.559
       5.414        7.442      619.004      773.453
       5.556        0.000      619.008      773.867
       5.694        0.000      619.008      773.867
       5.836        0.000      619.008      773.867
