# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000      187.891      892.309
       0.133       34.375      205.762      900.781
       0.252       22.917      226.988      903.625
       0.370       27.475      237.008      905.941
       0.489       14.208      233.383      902.160
       0.606       25.000      239.270      904.719
       0.725       31.250      239.926      905.414
       0.846       33.450      243.418      908.812
       0.967       35.417      248.133      913.824
       1.087       37.500      245.258      911.301
       1.217       35.417      252.637      918.777
       1.348       32.325      253.484      919.355
       1.470       33.450      252.543      918.477
       1.593       22.917      269.988      916.816
       1.706       40.250      273.375     1046.293
       1.822       33.333      289.082      890.992
       1.938       33.450      288.527      890.031
       2.054       32.292      292.723      894.262
       2.172       32.250      286.496      888.613
       2.296       34.375      288.793      890.348
       2.416       33.333      286.578      888.496
       2.532       27.225      287.289      889.332
       2.647       21.875      287.402      889.395
       2.763       19.117      287.543      889.562
       2.879       16.725      287.562      889.562
       2.994       16.667      290.344      892.484
       3.111       13.017      289.391      891.367
       3.233        8.333      289.402      891.367
       3.350       10.417      259.488      865.797
       3.468       11.942      248.168      856.184
       3.580        8.283      248.191      856.207
       3.694       10.417      248.637      856.672
       3.808       10.750      252.605      860.930
       3.932        8.333      252.836      861.023
       4.052        8.358      252.836      861.023
       4.170        8.333      252.836      861.023
       4.285        8.333      252.836      861.023
       4.403        8.283      252.836      861.023
       4.518       14.333      257.598      864.586
       4.635       15.625      253.129      854.887
       4.755        8.358      253.129      854.887
       4.868       20.833      271.129      852.535
       4.986        9.467      271.297      852.555
       5.098        8.358      271.301      852.555
       5.216        8.333      271.301      852.555
       5.330        8.283      271.301      852.555
       5.449        8.333      271.301      852.555
       5.566        8.358      271.301      852.555
       5.683        8.333      271.301      852.555
       5.797        8.358      271.301      852.555
       5.916        8.333      271.312      852.555
       6.031       13.017      275.383      856.863
       6.147        8.333      275.816      857.297
       6.264        8.358      275.816      857.297
       6.378        8.358      275.816      857.297
       6.495        8.333      275.816      857.297
       6.612        8.283      275.816      857.297
       6.733        8.333      275.816      857.297
       6.851        8.333      275.816      857.297
       6.972        8.358      275.816      857.297
       7.086        8.333      275.816      857.297
       7.204        8.283      275.816      857.297
       7.323        8.333      275.816      857.297
       7.440        8.358      275.816      857.297
       7.557        9.375      275.816      857.297
       7.679        8.333      275.816      857.297
       7.798        8.358      275.816      857.297
       7.913        8.333      275.816      857.297
       8.026        8.283      275.816      857.297
       8.138        8.358      275.816      857.297
       8.252        9.558      275.816      857.297
       8.368        8.333      275.816      857.297
       8.485        8.283      263.852      845.715
       8.603       10.417      267.297      849.422
       8.728       10.417      268.297      850.285
       8.842        8.358      268.297      850.285
       8.962        8.333      268.297      850.285
       9.083        8.333      268.332      850.703
       9.201        8.283      268.332      850.703
       9.322        9.375      268.820      851.875
       9.439        8.358      268.891      853.652
