# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.141       21.317      205.762      702.051
       0.302       19.908      225.930      717.332
       0.449       27.542      249.805      727.066
       0.601       34.167      261.852      739.883
       0.749       41.733      289.992      767.996
       0.884       40.625      289.070      766.199
       1.020       40.925      293.598      765.109
       1.151       29.550      304.016      769.121
       1.308       39.233      322.324      789.488
       1.451       53.075      347.621      790.215
       1.621       35.058      350.918      795.324
       1.816       69.558      375.309      810.523
       2.008       55.925      389.277      814.488
       2.163       42.483      400.988      813.648
       2.305       27.700      398.777      809.027
       2.473       57.867      441.512      839.543
       2.726       62.442      447.078      834.453
       2.926       55.208      455.402      917.605
       3.147       44.783      454.305      910.121
       3.329       42.475      466.754      918.066
       3.532       37.400      464.164      909.836
       3.718       34.817      467.590      908.051
       3.895       27.250      473.410      907.434
       4.072       34.633      505.754      926.070
       4.241       32.858      526.324     1002.266
       4.453       19.900      542.160     1010.082
       4.610       11.683      552.301     1015.535
       4.770       28.375      572.059     1032.344
       4.924       35.058      586.180     1049.281
       5.081       35.583      590.301     1051.695
       5.239       10.417      512.957      929.652
       5.377       10.017      554.555     1527.438
       5.521       24.883      627.570     1563.316
       5.692       34.225      662.930     1579.648
       5.850       30.283      719.527     1583.926
       6.004        8.367      807.082     1590.500
       6.158       10.158      827.215     1636.539
       6.299       10.850      783.285     1544.598
       6.442        7.292      494.016      914.922
       6.584        8.308      494.016      914.922
       6.725       10.017      495.848      915.578
       6.864        0.000      532.566     1757.852
       7.006       18.367      549.980     1765.480
       7.148       20.317      563.703     1770.223
       7.305       19.200      580.043     1773.914
       7.444       13.850      596.141     1784.348
       7.603       10.850      599.160     1784.855
       7.746       12.008      601.918     1785.594
       7.884        9.300      606.629     1786.906
       8.028       12.925      629.512     1807.117
       8.186       22.708      624.078     1803.387
       8.343       41.633      662.914     1815.805
       8.514       34.225      675.109     1828.973
       8.672       33.383      685.000     1840.008
       8.832       35.658      707.055     1843.055
       8.987       33.383      733.051     1842.293
       9.145       42.567      782.223     1967.594
       9.300       36.725      789.191     1973.512
       9.457       37.325      797.305     1981.613
