# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.113        0.000      579.391      838.773
       0.244        4.175      579.730      839.027
       0.400        4.617      581.457      840.770
       0.548       20.867      590.422      855.641
       0.687       24.008      594.012      859.457
       0.830       16.692      596.418      861.195
       0.990       20.317      603.297      866.828
       1.142        6.675      603.301      866.828
       1.279       10.417      603.613      867.055
       1.422       34.225      613.242      876.547
       1.579       34.000      629.309      891.258
       1.732       39.233      621.957      875.734
       1.874       26.975      624.605      878.430
       2.028       37.092      650.594      888.688
       2.185       28.625      652.699      890.762
       2.326       23.958      651.324      873.891
       2.465       20.858      656.238      878.789
       2.625       19.200      654.844      876.438
       2.767       28.625      663.328      886.738
       2.912       19.392      664.680      888.090
       3.054       12.092      664.777      888.219
       3.193       20.317      665.496      883.473
       3.338       15.858      666.961      883.500
       3.489       17.542      667.301      883.125
       3.631       16.742      668.254      884.191
       3.771       19.908      669.824      884.746
       3.928       20.458      671.980      887.137
       4.070       18.467      673.629      888.734
       4.210        9.233      629.531      845.883
       4.354       22.325      635.195      848.719
       4.494       10.850      629.953      843.852
       4.638        9.233      631.867      849.695
       4.776       20.317      638.895      856.672
       4.916       15.625      640.289      852.566
       5.054       11.158      640.883      853.078
       5.195       14.775      643.129      855.324
       5.334       16.625      649.988      864.293
       5.480       14.192      651.184      865.867
       5.633        9.300      652.523      867.117
       5.770       32.325      661.023      875.504
       5.913       28.625      679.258      888.773
       6.055       35.342      684.020      893.832
       6.196       23.083      687.590      897.316
       6.341       11.083      661.117      869.812
       6.482        6.517      661.117      869.812
       6.606        5.208      661.117      869.812
       6.747       21.700      668.387      877.039
       6.887       29.550      679.953      889.133
       7.038       22.167      667.555      876.105
       7.183        5.008      666.789      874.262
       7.318        0.000      666.789      874.262
       7.444        0.000      666.789      874.262
       7.585        0.000      666.789      874.262
       7.728        0.000      583.621      729.445
